ticker,year,quarter,revenue,cost_of_revenue,gross_profit,operating_income,net_income,assets,liabilities,equity
TXN,2014,Q1,,1376000000.0,,,,,,
TXN,2014,Q2,,2787000000.0,,,,,,
TXN,2014,Q3,,4453000000.0,,,,,,
TXN,2015,Q1,,1376000000.0,,,,,,
TXN,2015,Q2,,1351000000.0,,,,,,
TXN,2015,Q3,,1432000000.0,,,,,,
TXN,2016,Q1,,1184000000.0,1816000000.0,958000000.0,656000000.0,15686000000.0,5904000000.0,9782000000.0
TXN,2016,Q2,,2685000000.0,2003000000.0,1117000000.0,1352000000.0,15693000000.0,5731000000.0,9962000000.0
TXN,2016,Q3,,1395000000.0,2280000000.0,1395000000.0,798000000.0,16216000000.0,5930000000.0,9946000000.0
TXN,2017,Q1,,1258000000.0,2144000000.0,1252000000.0,997000000.0,15978000000.0,5339000000.0,10639000000.0
TXN,2017,Q2,,2445000000.0,3836000000.0,2115000000.0,2053000000.0,16431000000.0,5958000000.0,10708000000.0
TXN,2017,Q3,,3836000000.0,6120000000.0,3523000000.0,2548000000.0,16929000000.0,5941000000.0,10473000000.0
TXN,2018,Q1,,1342000000.0,2447000000.0,1548000000.0,1366000000.0,17507000000.0,6865000000.0,10337000000.0
TXN,2018,Q2,4017000000.0,,4518000000.0,2732000000.0,1405000000.0,18527000000.0,7893000000.0,10634000000.0
TXN,2018,Q3,4261000000.0,,2804000000.0,1937000000.0,1570000000.0,18573000000.0,8057000000.0,10337000000.0
TXN,2019,Q1,3594000000.0,,2261000000.0,1379000000.0,1217000000.0,17443000000.0,8924000000.0,8519000000.0
TXN,2019,Q2,7262000000.0,,5066000000.0,3260000000.0,2771000000.0,17384000000.0,8898000000.0,8486000000.0
TXN,2019,Q3,12067000000.0,,2446000000.0,1589000000.0,1425000000.0,17137000000.0,8143000000.0,8985000000.0
TXN,2020,Q1,3329000000.0,,2088000000.0,1244000000.0,1174000000.0,17283000000.0,9549000000.0,8907000000.0
TXN,2020,Q2,6568000000.0,,4621000000.0,2885000000.0,2522000000.0,17445000000.0,9801000000.0,8907000000.0
TXN,2020,Q3,3771000000.0,,2453000000.0,1609000000.0,1425000000.0,18207000000.0,9882000000.0,8325000000.0
TXN,2021,Q1,4289000000.0,1492000000.0,2797000000.0,1939000000.0,1753000000.0,19639000000.0,9473000000.0,10166000000.0
TXN,2021,Q2,6568000000.0,2398000000.0,5874000000.0,4152000000.0,3684000000.0,19351000000.0,10164000000.0,11153000000.0
TXN,2021,Q3,4643000000.0,1491000000.0,9026000000.0,6457000000.0,1947000000.0,23273000000.0,11122000000.0,9187000000.0
TXN,2022,Q1,4289000000.0,1463000000.0,2797000000.0,1939000000.0,1753000000.0,25276000000.0,11259000000.0,13333000000.0
TXN,2022,Q2,8869000000.0,1503000000.0,3077000000.0,2213000000.0,1931000000.0,24723000000.0,10631000000.0,13333000000.0
TXN,2022,Q3,4643000000.0,1491000000.0,3617000000.0,2678000000.0,1947000000.0,26057000000.0,11550000000.0,14507000000.0
TXN,2023,Q1,4379000000.0,1516000000.0,2863000000.0,1934000000.0,1708000000.0,29220000000.0,13977000000.0,15243000000.0
TXN,2023,Q2,4531000000.0,1621000000.0,5773000000.0,3906000000.0,1722000000.0,27207000000.0,12630000000.0,15940000000.0
TXN,2023,Q3,13442000000.0,,2815000000.0,1892000000.0,5139000000.0,27207000000.0,12630000000.0,16631000000.0
TXN,2024,Q1,4379000000.0,,2863000000.0,1934000000.0,1708000000.0,34885000000.0,17902000000.0,16897000000.0
TXN,2024,Q2,7483000000.0,,5773000000.0,3906000000.0,2232000000.0,35048000000.0,17834000000.0,16897000000.0
TXN,2024,Q3,4532000000.0,,2815000000.0,1892000000.0,1709000000.0,35321000000.0,18053000000.0,17268000000.0
TXN,2025,Q1,4069000000.0,,2313000000.0,1324000000.0,1179000000.0,33757000000.0,17351000000.0,16406000000.0
TXN,2025,Q2,7483000000.0,,2575000000.0,1563000000.0,2232000000.0,35509000000.0,18606000000.0,16903000000.0
TXN,2025,Q3,4742000000.0,,2723000000.0,1663000000.0,1364000000.0,35004000000.0,18377000000.0,16627000000.0
