Ticker,Exchange,Sector,Industry,MarketCap,ProfitMargin,TradingAge
NVDA,NMS,Technology,Semiconductors,4197473583104.0,0.55603004,27
GOOGL,NMS,Communication Services,Internet Content & Information,3641197199360.0,0.32810003,22
AAPL,NMS,Technology,Consumer Electronics,3644938780672.0,0.27037,46
MSFT,NMS,Technology,Software - Infrastructure,2838202155008.0,0.39044,40
AMZN,NMS,Consumer Cyclical,Internet Retail,2204630515712.0,0.108339995,29
META,NMS,Communication Services,Internet Content & Information,1501695836160.0,0.30084,14
AVGO,NMS,Technology,Semiconductors,1472212893696.0,0.36571997,17
TSLA,NMS,Consumer Cyclical,Auto Manufacturers,1380744822784.0,0.040009998,16
BRK-B,NYQ,Financial Services,Insurance - Diversified,1037325500416.0,0.18029,30
WMT,NMS,Consumer Defensive,Discount Stores,948875362304.0,0.0307,54
LLY,NYQ,Healthcare,Drug Manufacturers - General,811513544704.0,0.31667,54
JPM,NYQ,Financial Services,Banks - Diversified,772861591552.0,0.3391,46
XOM,NYQ,Energy,Oil & Gas Integrated,665307119616.0,0.089049995,64
SPY,PCX,,,595245858816.0,,33
V,NYQ,Financial Services,Credit Services,581535268864.0,0.50233,18
JNJ,NYQ,Healthcare,Drug Manufacturers - General,567217946624.0,0.28456,64
ASML,NMS,Technology,Semiconductor Equipment & Materials,517229641728.0,0.29416,31
MU,NMS,Technology,Semiconductors,475977842688.0,0.41486,42
ORCL,NYQ,Technology,Software - Infrastructure,430486552576.0,0.25298,40
MA,NYQ,Financial Services,Credit Services,442934689792.0,0.45646998,20
COST,NMS,Consumer Defensive,Discount Stores,431587557376.0,0.029860001,40
CVX,NYQ,Energy,Oil & Gas Integrated,403329581056.0,0.06661,64
NFLX,NMS,Communication Services,Entertainment,389490311168.0,0.24304001,24
PLTR,NMS,Technology,Software - Infrastructure,360377679872.0,0.36310002,6
CYATY,PNK,Industrials,Electrical Equipment & Parts,395231068160.0,0.17041,1
ABBV,NYQ,Healthcare,Drug Manufacturers - General,362598432768.0,0.0691,13
BAC,NYQ,Financial Services,Banks - Diversified,344385683456.0,0.28401,53
PG,NYQ,Consumer Defensive,Household & Personal Products,337685217280.0,0.19299999,64
AMD,NMS,Technology,Semiconductors,328250621952.0,0.12515001,46
HD,NYQ,Consumer Cyclical,Home Improvement Retail,319310299136.0,0.08596,45
KO,NYQ,Consumer Defensive,Beverages - Non-Alcoholic,321735458816.0,0.2734,64
CAT,NYQ,Industrials,Farm & Heavy Construction Machinery,318637932544.0,0.13144,64
CSCO,NMS,Technology,Communication Equipment,306802491392.0,0.18756,36
GE,NYQ,Industrials,Aerospace & Defense,302510080000.0,0.18982,64
BABA,NYQ,Consumer Cyclical,Internet Retail,292243210240.0,0.08912,12
LRCX,NMS,Technology,Semiconductor Equipment & Materials,286826987520.0,0.3022,42
AZN,NYQ,Healthcare,Drug Manufacturers - General,284632055808.0,0.17408001,33
NVS,NYQ,Healthcare,Drug Manufacturers - General,282286260224.0,0.24674,30
AMAT,NMS,Technology,Semiconductor Equipment & Materials,283366326272.0,0.27784002,46
MRK,NYQ,Healthcare,Drug Manufacturers - General,282297696256.0,0.28078,64
HSBC,NYQ,Financial Services,Banks - Diversified,264520417280.0,0.35248002,27
TM,NYQ,Consumer Cyclical,Auto Manufacturers,267210457088.0,0.073249996,46
RTX,NYQ,Industrials,Aerospace & Defense,266718265344.0,0.07598,64
SHEL,NYQ,Energy,Oil & Gas Integrated,254341251072.0,0.06683,42
UNH,NYQ,Healthcare,Healthcare Plans,250146373632.0,0.02694,42
PM,NYQ,Consumer Defensive,Tobacco,253910007808.0,0.27918,18
MS,NYQ,Financial Services,Capital Markets,256391790592.0,0.23986,33
GS,NYQ,Financial Services,Capital Markets,244000849920.0,0.28917998,27
WFC,NYQ,Financial Services,Banks - Diversified,243592953856.0,0.26659,54
GEV,NYQ,Industrials,Specialty Industrial Machinery,230912688128.0,0.1283,2
IBM,NYQ,Technology,Information Technology Services,226879176704.0,0.15685001,64
QQQ,NGM,,,228807786496.0,,27
TMUS,NMS,Communication Services,Telecom Services,233175072768.0,0.124469995,19
INTC,NMS,Technology,Semiconductors,219138473984.0,-0.00505,46
LIN,NMS,Basic Materials,Specialty Chemicals,226205843456.0,0.20297001,34
RY,NYQ,Financial Services,Banks - Diversified,222237343744.0,0.33137,31
MCD,NYQ,Consumer Cyclical,Restaurants,220396732416.0,0.3185,60
SAP,NYQ,Technology,Software - Application,206724628480.0,0.19459,31
PEP,NMS,Consumer Defensive,Beverages - Non-Alcoholic,205155713024.0,0.08773,54
VZ,NYQ,Communication Services,Telecom Services,210799853568.0,0.124280006,43
AXP,NYQ,Financial Services,Credit Services,203555667968.0,0.16174999,54
KLAC,NMS,Technology,Semiconductor Equipment & Materials,196913758208.0,0.35764,46
T,NYQ,Communication Services,Telecom Services,200702312448.0,0.17472,43
NEE,NYQ,Utilities,Utilities - Regulated Electric,186475216896.0,0.24934,53
C,NYQ,Financial Services,Banks - Diversified,191585419264.0,0.18893999,49
TTE,NYQ,Energy,Oil & Gas Integrated,191062835200.0,0.07199,35
MUFG,NYQ,Financial Services,Banks - Diversified,185680986112.0,0.22768,25
AMGN,NMS,Healthcare,Drug Manufacturers - General,187487715328.0,0.20982,43
ABT,NYQ,Healthcare,Medical Devices,183256039424.0,0.14718,46
RTNTF,PNK,Basic Materials,Other Industrial Metals & Mining,167656292352.0,0.17291,17
CRM,NYQ,Technology,Software - Application,183071064064.0,0.17958,22
DTEGY,OQX,Communication Services,Telecom Services,181667987456.0,0.07888,30
DIS,NYQ,Communication Services,Entertainment,176469737472.0,0.128,64
GILD,NMS,Healthcare,Drug Manufacturers - General,170335322112.0,0.28903,34
TMO,NYQ,Healthcare,Diagnostics & Research,176228417536.0,0.15045999,46
TJX,NYQ,Consumer Cyclical,Apparel Retail,172483248128.0,0.091000006,39
TXN,NMS,Technology,Semiconductors,170429644800.0,0.28283,54
ANET,NYQ,Technology,Computer Hardware,165243387904.0,0.38991,12
BHP,NYQ,Basic Materials,Other Industrial Metals & Mining,166459506688.0,0.18972999,46
ISRG,NMS,Healthcare,Medical Instruments & Supplies,169760456704.0,0.28375998,26
SCHW,NYQ,Financial Services,Capital Markets,168204845056.0,0.37005,39
NVO,NYQ,Healthcare,Drug Manufacturers - General,162839183360.0,0.33143002,45
APH,NYQ,Technology,Electronic Components,155790704640.0,0.1849,35
SHOP,NMS,Technology,Software - Application,152407670784.0,0.106520005,11
SAN,NYQ,Financial Services,Banks - Diversified,153683394560.0,0.30107,39
BA,NYQ,Industrials,Aerospace & Defense,153333907456.0,0.02498,64
TD,NYQ,Financial Services,Banks - Diversified,154240614400.0,0.33021998,30
UBER,NYQ,Technology,Software - Application,153530892288.0,0.19326,7
PFE,NYQ,Healthcare,Drug Manufacturers - General,153414959104.0,0.124180004,54
COP,NYQ,Energy,Oil & Gas E&P,155139293184.0,0.13252,45
DE,NYQ,Industrials,Farm & Heavy Construction Machinery,151187144704.0,0.10302,54
ADI,NMS,Technology,Semiconductors,151065001984.0,0.23024,46
BLK,NYQ,Financial Services,Asset Management,148994785280.0,0.22930999,27
APP,NMS,Communication Services,Advertising Agencies,149507915776.0,0.60827,5
LMT,NYQ,Industrials,Aerospace & Defense,145185914880.0,0.06685,64
HON,NMS,Industrials,Conglomerates,140802162688.0,0.1263,64
WELL,NYQ,Real Estate,REIT - Healthcare Facilities,136717631488.0,0.08644,46
QCOM,NMS,Technology,Semiconductors,138739056640.0,0.11958,35
ETN,NYQ,Industrials,Specialty Industrial Machinery,138581114880.0,0.1489,54
RIO,NYQ,Basic Materials,Other Industrial Metals & Mining,135180410880.0,0.17291,36
UNP,NYQ,Industrials,Railroads,139399528448.0,0.29123,46
BX,NYQ,Financial Services,Asset Management,134974398464.0,0.21243,19
BKNG,NMS,Consumer Cyclical,Travel Services,139380310016.0,0.20076999,27
PANW,NMS,Technology,Software - Infrastructure,132967194624.0,0.12956999,14
